name,lat,lon,country
L’Ancienne-Lorette,46.8,-71.35,CA
Swift Current,50.2881,-107.7939,CA
Pembroke,45.8167,-77.1,CA
Edmundston,47.3765,-68.3253,CA
Yorkton,51.2139,-102.4628,CA
Springfield,49.9292,-96.6939,CA
Sylvan Lake,52.3083,-114.0964,CA
Bracebridge,45.0333,-79.3,CA
Summerside,46.4,-63.7833,CA
Canmore,51.089,-115.359,CA
Bathurst,47.62,-65.65,CA
Greater Napanee,44.25,-76.95,CA
Lake Country,50.0833,-119.4142,CA
Hanover,49.4433,-96.8492,CA
Winkler,49.1817,-97.9397,CA
Saint-Charles-Borromée,46.05,-73.4667,CA
Cowansville,45.2,-72.75,CA
Sainte-Anne-des-Plaines,45.7617,-73.8204,CA
Gaspé,48.8333,-64.4833,CA
Sooke,48.3761,-123.7378,CA
Kenora,49.7667,-94.4833,CA
Cold Lake,54.4642,-110.1825,CA
Brooks,50.5642,-111.8989,CA
Kentville,45.0775,-64.4958,CA
Comox,49.6733,-124.9022,CA
Pincourt,45.3833,-73.9833,CA
Mississippi Mills,45.2167,-76.2,CA
St. Clair,42.7833,-82.35,CA
Terrace,54.5164,-128.5997,CA
Mercier,45.32,-73.75,CA
West Lincoln,43.0667,-79.5667,CA
Lavaltrie,45.8833,-73.2833,CA
West Nipissing / Nipissing Ouest,46.3667,-79.9167,CA
Strathmore,51.0378,-113.4003,CA
High River,50.5808,-113.8744,CA
Clearview,44.3981,-80.0742,CA
Lachute,45.65,-74.3333,CA
Rosemère,45.6369,-73.8,CA
Matane,48.85,-67.5333,CA
Thames Centre,43.03,-81.08,CA
Powell River,49.8353,-124.5247,CA
Carleton Place,45.1333,-76.1333,CA
Guelph/Eramosa,43.63,-80.22,CA
Grand Falls,48.9578,-55.6633,CA
North Battleford,52.7575,-108.2861,CA
Mont-Laurier,46.55,-75.5,CA
Central Elgin,42.7667,-81.1,CA
Mistassini,48.8229,-72.2154,CA
Saugeen Shores,44.4333,-81.3667,CA
Ingersoll,43.0392,-80.8836,CA
Beauharnois,45.32,-73.87,CA
South Stormont,45.0833,-74.9667,CA
Bécancour,46.3333,-72.4333,CA
Severn,44.75,-79.5167,CA
Lacombe,52.4683,-113.7369,CA
Sainte-Sophie,45.82,-73.9,CA
Val-des-Monts,45.65,-75.6667,CA
Saint-Amable,45.65,-73.3,CA
Portage La Prairie,49.9728,-98.2919,CA
South Glengarry,45.2,-74.5833,CA
Sainte-Marie,46.45,-71.0333,CA
North Perth,43.73,-80.95,CA
Thompson,55.7433,-97.8553,CA
Trent Hills,44.3142,-77.8514,CA
Trail,49.095,-117.71,CA
The Nation / La Nation,45.35,-75.0333,CA
Amos,48.5667,-78.1167,CA
Wetaskiwin,52.9694,-113.3769,CA
West Grey,44.1833,-80.8167,CA
Warman,52.3219,-106.5842,CA
Dawson Creek,55.7606,-120.2356,CA
Sidney,48.6506,-123.3986,CA
Gravenhurst,44.9167,-79.3667,CA
Prince Rupert,54.3122,-130.3271,CA
Perth East,43.47,-80.95,CA
North Saanich,48.6142,-123.42,CA
Prévost,45.87,-74.08,CA
Sainte-Adèle,45.95,-74.13,CA
Sainte-Agathe-des-Monts,46.05,-74.28,CA
Quesnel,52.9784,-122.4927,CA
Les Îles-de-la-Madeleine,47.3833,-61.8667,CA
Taché,49.7081,-96.6736,CA
Wellington North,43.9,-80.57,CA
St. Andrews,50.27,-96.9747,CA
Williams Lake,52.1294,-122.1383,CA
Gander,48.9569,-54.6089,CA
Whistler,50.1208,-122.9544,CA
Brighton,44.1222,-77.7642,CA
Tiny,44.6833,-79.95,CA
Hawkesbury,45.6,-74.6,CA
Carignan,45.45,-73.3,CA
Brock,44.3167,-79.0833,CA
L’Île-Perrot,45.3833,-73.95,CA
Summerland,49.6006,-119.6778,CA
St. Clements,50.2689,-96.6742,CA
View Royal,48.4517,-123.4339,CA
Montmagny,46.9833,-70.55,CA
Cantley,45.5667,-75.7833,CA
Erin,43.7667,-80.0667,CA
Notre-Dame-de-l'Île-Perrot,45.3667,-73.9333,CA
Kincardine,44.1667,-81.6333,CA
Elliot Lake,46.3833,-82.65,CA
Bromont,45.3167,-72.65,CA
Arnprior,45.4333,-76.35,CA
North Dundas,45.0833,-75.35,CA
Wellesley,43.55,-80.7167,CA
Nelson,49.5,-117.2833,CA
Ladysmith,48.9975,-123.8203,CA
Coldstream,50.22,-119.2481,CA
Georgian Bluffs,44.65,-81.0333,CA
Weyburn,49.6611,-103.8525,CA
La Tuque,48.0652,-74.0528,CA
Norwich,42.9833,-80.6,CA
Meaford,44.58,-80.73,CA
Adjala-Tosorontio,44.1333,-79.9333,CA
Hamilton Township,44.054,-78.2164,CA
Stratford,46.2167,-63.0893,CA
Estevan,49.1392,-102.9861,CA
South Dundas,44.9167,-75.2667,CA
Lambton Shores,43.1833,-81.9,CA
North Dumfries,43.32,-80.38,CA
Martensville,52.2897,-106.6667,CA
Mapleton,43.7358,-80.6681,CA
Rawdon,46.05,-73.7167,CA
Morinville,53.8022,-113.6497,CA
Blackfalds,52.3833,-113.8,CA
Chester,44.65,-64.3,CA
Queens,44.0333,-64.7167,CA
Selkirk,50.1436,-96.8839,CA
Saint-Félicien,48.65,-72.45,CA
Roberval,48.52,-72.23,CA
Rideau Lakes,44.6667,-76.2167,CA
Sechelt,49.4742,-123.7542,CA
Bois-des-Filion,45.6667,-73.75,CA
North Glengarry,45.3333,-74.7333,CA
South Huron,43.32,-81.5,CA
Marieville,45.4333,-73.1667,CA
Penetanguishene,44.7667,-79.9333,CA
Tay,44.7167,-79.7667,CA
Castlegar,49.3256,-117.6661,CA
Cavan Monaghan,44.2,-78.4667,CA
Morden,49.1919,-98.1006,CA
Temiskaming Shores,47.5167,-79.6833,CA
Hinton,53.4114,-117.5639,CA
Saint-Sauveur,45.9,-74.17,CA
Grey Highlands,44.3333,-80.5,CA
East St. Paul,49.9772,-97.0103,CA
Stoneham-et-Tewkesbury,47.1667,-71.4333,CA
Alfred and Plantagenet,45.5667,-74.9167,CA
Mont-Tremblant,46.1167,-74.6,CA
Saint-Zotique,45.25,-74.25,CA
Saint-Raymond,46.9,-71.8333,CA
Gibsons,49.4028,-123.5036,CA
Amherst,45.8167,-64.2167,CA
Elizabethtown-Kitley,44.7,-75.8833,CA
Smiths Falls,44.9,-76.0167,CA
Lorraine,45.6833,-73.7833,CA
Ramara,44.6333,-79.2167,CA
Notre-Dame-des-Prairies,46.05,-73.4333,CA
Leeds and the Thousand Islands,44.45,-76.08,CA
Brockton,44.1667,-81.2167,CA
Laurentian Valley,45.7681,-77.2239,CA
Mono,44.0167,-80.0667,CA
Sainte-Julienne,45.97,-73.72,CA
Qualicum Beach,49.35,-124.4333,CA
Malahide,42.7928,-80.9361,CA
Oromocto,45.8488,-66.4788,CA
Whitecourt,54.1417,-115.6833,CA
Olds,51.7928,-114.1067,CA
Huron East,43.63,-81.28,CA
Beckwith,45.0833,-76.0667,CA
Labrador City,52.95,-66.9167,CA
Shelburne,44.0833,-80.2,CA
Stanley,49.1331,-98.0656,CA
Taber,49.7847,-112.1508,CA
Donnacona,46.6747,-71.7294,CA
Corman Park No. 344,52.2291,-106.8002,CA
L’Epiphanie,45.84826642,-73.50605408,CA
West Perth,43.47,-81.2,CA
Campbellton,48.005,-66.6731,CA
Bridgewater,44.37,-64.52,CA
Coaldale,49.7333,-112.6167,CA
Pont-Rouge,46.75,-71.7,CA
Champlain,45.5333,-74.65,CA
Coaticook,45.1333,-71.8,CA
Minto,43.9167,-80.8667,CA
La Pêche,45.6833,-75.9833,CA
Shediac,46.2167,-64.5333,CA
Otterburn Park,45.5333,-73.2167,CA
Sainte-Brigitte-de-Laval,47,-71.2,CA
Sainte-Catherine-de-la-Jacques-Cartier,46.85,-71.6167,CA
South Bruce Peninsula,44.7333,-81.2,CA
Portugal Cove-St. Philip's,47.6272,-52.8506,CA
Edson,53.5817,-116.4344,CA
Renfrew,45.4717,-76.6831,CA
Farnham,45.2833,-72.9833,CA
Delson,45.37,-73.55,CA
Plympton-Wyoming,43.0167,-82.0833,CA
Banff,51.1781,-115.5719,CA
Kapuskasing,49.4167,-82.4333,CA
La Malbaie,47.65,-70.15,CA
Boischatel,46.9,-71.15,CA
Beauport,46.9667,-71.3,CA
Zorra,43.15,-80.95,CA
Kitimat,54,-128.7,CA
Macdonald,49.6725,-97.4472,CA
Happy Valley,53.3396,-60.4467,CA
Saint-Hippolyte,45.93,-74.02,CA
Dauphin,51.1992,-100.0633,CA
Church Point,44.3333,-66.1167,CA
Old Chelsea,45.5,-75.7833,CA
Drumheller,51.4636,-112.7194,CA
Kirkland Lake,48.15,-80.0333,CA
Aylmer,42.7667,-80.9833,CA
Saint-Apollinaire,46.6167,-71.5167,CA
Puslinch,43.45,-80.1667,CA
Argyle,43.8,-65.85,CA
Torbay,47.65,-52.7333,CA
Yarmouth,43.8361,-66.1175,CA
Innisfail,52.0333,-113.95,CA
Nicolet,46.2167,-72.6167,CA
Rockwood,50.2856,-97.2869,CA
Drummond/North Elmsley,44.9667,-76.2,CA
Contrecoeur,45.85,-73.2333,CA
Hanover,44.15,-81.0333,CA
Dryden,49.7833,-92.8333,CA
Iqaluit,63.7598,-68.5107,CA
Fort Frances,48.6167,-93.4,CA
Goderich,43.7333,-81.7,CA
La Sarre,48.8,-79.2,CA
Chandler,48.35,-64.6833,CA
Stone Mills,44.45,-76.9167,CA
South-West Oxford,42.95,-80.8,CA
Acton Vale,45.65,-72.5667,CA
Douro-Dummer,44.45,-78.1,CA
Saint-Philippe,45.35,-73.47,CA
McNab/Braeside,45.45,-76.5,CA
Central Huron,43.63,-81.57,CA
Rigaud,45.4833,-74.3,CA
Louiseville,46.25,-72.95,CA
Chibougamau,49.9167,-74.3667,CA
Coteau-du-Lac,45.3,-74.18,CA
Ritchot,49.6647,-97.1167,CA
Kimberley,49.6697,-115.9775,CA
Blandford-Blenheim,43.2333,-80.6,CA
Bayham,42.7333,-80.7833,CA
Augusta,44.7511,-75.6003,CA
Stephenville,48.55,-58.5667,CA
The Pas,53.825,-101.2533,CA
St. Marys,43.2583,-81.1333,CA
Saint-Rémi,45.2667,-73.6167,CA
Drayton Valley,53.2222,-114.9769,CA
Ponoka,52.6833,-113.5667,CA
Southgate,44.1,-80.5833,CA
Les Cèdres,45.3,-74.05,CA
Baie-Saint-Paul,47.45,-70.5,CA
Merritt,50.1128,-120.7897,CA
Bluewater,43.45,-81.6,CA
